"","title","subtitle","author_name","author_about","publisher","publisher_date","publisher_year","format","page_count","language","isbn_10","isbn_13","category","sub_category","average_rating","rating_number","price","features_text","dimensions","item_weight","weight_grams"
"223","Mrs. Jeffries Appeals the Verdict (A Victorian Mystery)","","Emily Brightwell","Emily Brightwell was born in the Appalachian mountains of West Virginia. Her family moved to Southern California in 1959 and she grew up in Pasadena. After graduating from California State University Fullerton, she decided to work her way around the world and started in England. She didn't get any further because she met future her husband there, got married and moved back to California. While living in Long Beach, she decided to pursue her dream and become a writer - despite having two children and a full-time job. She began the Mrs. Jeffries series in 1993 with ""The Inspector and Mrs. Jeffries"" and has written forty more mysteries in the series in the following twenty-nine years. Emily has just finished (January 23) writing the next Mrs. Jeffries mystery : ""Mrs. Jeffries Aims to Win"" to be published in August 2023. Almost all books are available as audio books (unabridged) and most are available in large print format. Now that her children are grown and have left home - Emily and her husband live in Northern Nevada. Her books are also sold in the United Kingdom, Japan, and Hungary. Emily is a relieved Everton FC supporter, loves Korean TV dramas, and ""high altitude"" baking.","Berkley","First Edition (May 2, 2006",2006,"",NA,"English","0425209695","978-0425209691","Mystery, Thriller & Suspense","Mystery",4.6,463,7.99,"GUILTY BYSTANDERS | After a perfectly decent local woman is killed during a robbery, the Witherspoon household receives a surprising visit from a stranger named Blimpey Groggins. He claims his best buddy was convicted of the crime. He also claims the peaceable chap didn’t even know how to fire a gun. And considering he’s to be hanged in three weeks, Blimpey’s desperate to find the real killer. With the trail cold, the crime allegedly solved, and the evidence mucked up, Mrs. Jeffries and her belowstairs cohorts have their work cut out for them if they want to save an innocent man from the gallows. | A Mrs. Jeffries Mystery | She keeps house for Inspector Witherspoon…and keeps him on his toes. Everyone’s awed by his Scotland Yard successes—but they don’t know about his secret weapon. No matter how messy the murder or how dirty the deed, Mrs. Jeffries’ polished detection skills are up to the task…proving that behind every great man there’s a woman—and that a crimesolver’s work is never done. | First Time in Print!","4.23 x 0.6 x 6.7 inches","3.84 ounces",108.9
"224","Rush on the Radio","Kindle Edition","James Golden","Discover more of the author’s books, see similar authors, read author blogs and more","All Seasons Press","November 26, 2021",2021,"",NA,"English","","","Politics & Social Sciences","Politics & Government",4.8,2833,8.79,"What was it like to be a part of the supersonic ride on the Rush Limbaugh program, the highest-rated radio show in history that spanned 33 years and changed the American political conversation? James Golden, aka “Bo Snerdley,” was there from the beginning to the final, tearful episodes. As call screener, “Official Show Observer,” and friend of Rush, James shares the stories that grew an audience into tens of millions of devoted listeners. On the air or off, when Rush asked, “What do you think, Mr. Snerdley?” he meant it. James agreed, and disagreed, with Rush over the years, but they held the same values. “Rush’s legacy must be is framed truthfully and properly. The stories must not be lost. In fact, we need them now more than ever.""","","",NA
"225","The Restaurant (The Nantucket Restaurant series)","","Pamela M. Kelley","Pamela M. Kelley is a USA Today and Wall Street Journal bestselling author of women's fiction, family sagas, and suspense. Readers often describe her books as feel-good reads with people you'd want as friends. She lives in a historic seaside town near Cape Cod and just south of Boston. She has always been an avid reader of women's fiction, romance, mysteries, thrillers and cook books. There's also a good chance you might get hungry when you read her books as she is a foodie, and occasionally shares a recipe or two. Feel free to sign up for her list to hear about new releases as soon as they are available as well as extras like early bird discounts. Just cut and paste into your browser, http://eepurl.com/IZbOH Thank you! ~Pam","Piping Plover Press","May 16, 2020",2020,"Paperback",280,"English","0991243560","978-0991243563","Literature & Fiction","Genre Fiction",4.1,22367,10.21,"Three sisters. An inherited Nantucket restaurant. One year before they can sell.Mandy, Emma and Jill are as close as three sisters who live hundreds of miles apart can be. They grew up together on Nantucket, but Mandy is the only one that stayed.Jill lives a glamorous life in Manhattan as a co-owner of a successful executive search firm. Never married, she is in her mid-thirties and lives in a stunning, corner condo with breathtaking views of the city and Hudson river. Everyone thinks there's something going on with her partner, Billy, because as a workaholic, she spends more time with him than anyone else. But there's never been anything but friendship between them and Billy loves being a bachelor in NYC.Emma lives in Arizona and is an elementary school teacher and an aspiring photographer. She met her college professor husband, Peter, in grad school and they've been married for almost thirteen years. In recent years, she's noticed that Peter has grown distant. But when he shares a surprising secret, she doesn't see it coming and her world is turned upside down.Mandy followed her high school boyfriend, Cory to Boston College, and right after graduation, they married and settled in Dover, just outside of Boston. Cory joined a successful hedge fund, while Mandy took a job at a downtown financial services firm as an administrative assistant. She quit a year later, when Blake, the first baby came. Two years later, when Brooke was born, Cory left to open a competing Hedge Fund and they moved home to Nantucket. Now that the children are older, Mandy has more free time and is eager to do more than just volunteer with local charity events. But Cory doesn't want her to work. He thinks it doesn't reflect well on him and appearances are everything to Cory. Though when Mandy finds a second cell phone in his gym bag, she begins to question what is really going on.When their beloved grandmother, Rose Ferguson passes peacefully in her sleep a week before her ninety-ninth birthday she leaves them quite a surprise. In addition to her Nantucket home, they learned that she was the silent owner of Mimi’s Place, one of Nantucket’s most popular year-round restaurants. There is of course, a catch--she left the restaurant equally to Mandy, Emma, and Jill--and also to Paul, the chef for the past twelve years.And before they can sell, all three girls need to work at the restaurant for a period of one year--or else their shares will go to Paul--who was also Emma’s first love. Three sisters inherit a Nantucket restaurant and must work together for a year--or lose their shares to the chef. Paul was Emma's first love, and now he's their business partner.","5.25 x 0.71 x 8 inches","9.3 ounces",263.7
"226","The Assertiveness Workbook: How to Express Your Ideas and Stand Up for Yourself at Work and in Relationships (A New Harbinger Self-Help Workbook)","Paperback – December 30, 2000","Randy J. Paterson","I am a psychologist in Vancouver Canada. My practice includes the treatment of clinical depression, the range of anxiety disorders, and major life transitions. I am also interested in positive psychology, the transition from adolescence to adult independence, and critical perspectives on the mental health system. Most of my work takes place through Changeways Clinic (changeways.com), which I established in 2002 and has grown to be one of the city's largest private psychotherapy services. In addition to providing direct clinical services, we work on alternative methods of disseminating psychological ideas and self-care strategies. The Changeways Core Program, for example, is Canada's most widely-used group treatment protocol for clinical depression, and has been implemented in the USA, Great Britain, China, Hong Kong, Australia, and elsewhere. Recently I have been developing online courses on psychological topics; these are hosted at psychologysalon.teachable.com and include What Is Depression, What Causes Depression, UnDoing Depression, How to Buy Happiness, Breathing Made Easy, The Parent Trap (a resource for parents of young adults having difficulty with independence), and a free ""book club"" series of demonstration videos to accompany The Assertiveness Workbook. My books include How to be Miserable: 40 Strategies You Already Use, How to be Miserable in Your 20s, The Assertiveness Workbook (now in its second edition), Private Practice Made Simple, and Your Depression Map. I also enjoy teaching, and have offered hundreds of training workshops for mental health clinicians on cognitive behaviour therapy, the treatment of depression and anxiety, diversity awareness, failure to launch, and private practice management. I also provide talks, keynotes, and longer workshops for nonprofessional audiences, and work with media outlets including print, radio, television, and podcasts. Information on my books, workshops, talks, online courses, and media work can be found at randypaterson.com. In my leisure time I enjoy travel and operate an orchard in the dry climate of the British Columbia interior, where much of my writing also takes place.","New Harbinger Publications","1st edition (December 30, 2000",2000,"Paperback",200,"English","1572242094","978-1572242098","Self-Help","Relationships",4.6,660,46.6,"Effective communication is a critical skill that influences your professional success, the stability of your family life, and your personal happiness. Your ability to communicate effectively is seriously hampered if you can't assert yourself constructively. If you've ever felt paralyzed by an imposing individual or strongly argued opposing point of view, you know that a lack of assertiveness can leave you feeling marginalized and powerless. | The Assertiveness Workbook | contains effective, cognitive behavioral techniques to help you become more assertive. Learn how to set and maintain personal boundaries without becoming inaccessible. Become more genuine and open in relationships without fearing attack. Defend yourself when you are criticized or asked to submit to unreasonable requests. | This book has been awarded The Association for Behavioral and Cognitive Therapies Self-Help Seal of Merit — an award bestowed on outstanding self-help books that are consistent with cognitive behavioral therapy (CBT) principles and that incorporate scientifically tested strategies for overcoming mental health difficulties. Used alone or in conjunction with therapy, our books offer powerful tools readers can use to jump-start changes in their lives.","7 x 0.75 x 9.75 inches","3.53 ounces",100.1
"227","Torment (Fallen, Book 2)","Hardcover – September 28, 2010","Lauren Kate","Lauren Kate is the internationally number one bestselling author of the Fallen novels, the Teardrop novels, and The Betrayal of Natalie Hargrove. Her work has been translated into over thirty languages. She lives in Los Angeles. Photo credit: Christina Hultquist","Delacorte Press","First Edition first Printing (September 28, 2010",2010,"Hardcover",464,"English","0385739141","978-0385739146","Teen & Young Adult","Literature & Fiction",4.5,3552,16.99,"The second novel in the addictive and | worldwide bestselling | FALLEN series . . . where love never dies. | #1 | New York Times | bestseller | A | USA Today | Bestseller | More than 3 million series copies in print! | Hell on earth.That’s what it’s like for Luce to be apart from her fallen angel boyfriend, Daniel. It took them an eternity to find one another, but now he has told her he must go away. Just long enough to hunt down the Outcasts—immortals who want to kill Luce. Daniel hides Luce at Shoreline, a school on the rocky California coast with unusually gifted students: Nephilim, the offspring of fallen angels and humans.At Shoreline, Luce learns what the Shadows are, and how she can use them as windows to her previous lives. Yet the more Luce learns, the more she suspects that Daniel hasn’t told her everything. He’s hiding something—something dangerous. What if Daniel’s version of the past isn’t actually true? What if Luce is really meant to be with someone else? | “Sexy and fascinating and scary . . . I loved loved loved it!”—P. C. Cast, | New York Times | bestselling author on | Fallen","5.81 x 1.5 x 8.56 inches","1.21 pounds",548.8
"228","The Broken Shore: A Novel","Paperback – May 27, 2007","Peter Temple","Peter Temple is the author of nine novels, including four books in the Jack Irish series. He has won the Ned Kelly Award for Crime Fiction five times, and his widely acclaimed novels have been published in over twenty countries. ""The Broken Shore"" won the UK’s prestigious Duncan Lawrie Dagger for the best crime novel of 2007 and was made into an ABC telemovie in 2014. Truth won the 2010 Miles Franklin Literary Award, the first time a crime writer has won an award of this caliber anywhere in the world. Temple’s first two novels ""Bad Debts"" and ""Black Tide"" have been made into films with Guy Pearce starring as Jack Irish.","Picador","First Edition (May 27, 2007",2007,"Paperback",357,"English","0312427867","978-0312427863","Mystery, Thriller & Suspense","Thrillers & Suspense",4.3,2562,15.19,"Winner of the Colin Roderick Award for Australian writing, the Ned Kelly Award for Australian crime fiction, and the CWA Duncan Lawrie Dagger Award. | Peter Temple's | The Broken Shore | is a transfixing and moving novel about a place, a family, politics and power, and the need to live decently in a world where so much is rotten. | The Broken Shore | , his eighth novel, revolves around big-city detective Joe Cashin. Shaken by a scrape with death, he's posted away from the Homicide Squad to the quiet town on the South Australian coast where he grew up. Carrying physical scars and more than a little guilt, he spends his time playing the country cop, walking his dogs, and thinking about how it all was before. But when a prominent local is attacked in his own home and left for dead, Cashin is thrust into what becomes a murder investigation. The evidence points to three boys from the nearby aboriginal community―everyone seems to want to blame them. Cashin is unconvinced, and soon begins to see the outlines of something far more terrible than a burglary gone wrong.Peter Temple is currently being hailed as the finest crime writer in Australia, but it won't be long before he is recognized as what he really is―one of the nation's finest writers, period. Born in South Africa, Temple is writing a dynamic kind of literary thriller that ultimately defies classification.","5.5 x 0.82 x 8.5 inches","1 pounds",453.6
"229","25 Hours a Day: Going One More to Get What You Want","Paperback – January 17, 2020","Nick Bare","NICK BARE is the founder and president of Bare Performance Nutrition, a seven-figure supplement company with a focus on high-quality products. Nick has a Bachelor of Science in Nutrition, served four years active duty as an infantry officer in the United States Army, and completed US Army Ranger school. He completed a 150-mile ruck march to not only raise money for Hurricane Harvey victims, but also test his mental and physical strength. Nick, who lives in Austin, Texas, has built a community of hundreds of thousands of followers on social media.","Lioncrest Publishing","January 17, 2020",2020,"Paperback",192,"English","154450537X","978-1544505374","Health, Fitness & Dieting","Nutrition",4.6,1789,15.99,"You have big dreams that fire you up, and yet a fear of failure is holding you back. You see the success others have achieved and doubt you could ever do what they’ve done. You tell yourself you lack the smarts, skills, or leadership capabilities to live out your dream, but the truth is, there’s a massive gap between what you think you can do and what you’re actually capable of doing. | Nick Bare | wants to help you close that gap. In | Twenty-Five Hours A Day | , Nick shares the lessons he learned while building his business as a member of the US Army. He grew that business to seven figures by flipping the switch and going all in—then breaking that switch so he could never go back. Now, Nick wants to help you transform your life by embracing the suck, living like you’ve got an extra hour, and harnessing the power of “one more.” By applying these simple lessons, you’ll radically improve your chances of success.","5.5 x 0.48 x 8.5 inches","8.8 ounces",249.5
"230","Peedie (Gossie & Friends)","Hardcover – August 30, 2004","Olivier Dunrea","Olivier Dunrea is the creator of beautiful and well-loved children's books. A painter and a sculptor, his work centers around medieval farms, farm animals, architecture, and folklore. He lives in a 100 year old Arts and Crafts house in a tiny, remote mountain village on the western edge of the Catskills Mountains. More of Olivier's art and life can be seen at www.olivierdunrea.com and his blog www.thewritinglifeathenwoodie.com","HMH Books for Young Readers","0 edition (August 30, 2004",2004,"Hardcover",32,"English","0618356525","978-0618356522","Children's Books","Literature & Fiction",4.9,233,6.91,"Peedie is a small yellow gosling who sometimes forgets things. But he never forgets to wear his lucky red baseball cap. He wears it everywhere. Until he puts it in a secret place.","6.34 x 0.39 x 6.02 inches","5.6 ounces",158.8
"231","Crocodile on the Sandbank (Amelia Peabody Mysteries)","MP3 CD – MP3 Audio, January 1, 2001","Elizabeth Peters","ELIZABETH PETERS, whose New York Times best-selling novels are often set against historical backdrops, earned a Ph.D. in Egyptology at the University of Chicago. She also writes best-selling books under the pseudonym Barbara Michaels. She lives in Frederick, Maryland.","Blackstone Publishing","Unabridged edition (January 1, 2001",2001,"",NA,"English","0786193549","978-0786193547","Mystery, Thriller & Suspense","Mystery",4.5,6057,29.95,"Amelia Peabody, that indomitable product of the Victorian age, embarks on her first Egyptian adventure armed with unshakable self-confidence, a journal to record her thoughts, and, of course, a sturdy umbrella. On her way, Amelia rescues young Evelyn Barton-Forbes, who has been ruined and abandoned on the streets of Rome by her rascally lover. With a typical disregard for convention, Amelia promptly hires her fellow countrywoman as a companion and takes her to Cairo. | Eluding Evelyn's former lover, who wants her back, and Evelyn's cousin Lord Ellesmere, who wishes to marry her, the two women sail up the Nile to an archaeological site that is home to a rather lively mummy. Soon strange visitations, suspicious accidents, and a botched kidnapping convince Amelia that there is a plot afoot to harm Evelyn.","5.3 x 0.7 x 7.4 inches","3.2 ounces",90.7
"232","The Untouchable (Vintage International)","","John Banville","John Banville was born in Wexford, Ireland, in 1945. He is the author of thirteen previous novels including The Book of Evidence, which was shortlisted for the 1989 Booker Prize. He has received a literary award from the Lannan Foundation. He lives in Dublin.","Vintage","February 19, 2009",2009,"",NA,"English","","","Literature & Fiction","Genre Fiction",4.2,1093,11.99,"WINNER OF THE LANNAN LITERARY AWARD FOR FICTION • From the Booker Prize-winning author of | The Sea | comes the fascinating story of a former British spy who's been unmasked as a Russian agent—and ""one of spy fiction's greatest characters"" | (People). • | ""Contemporary fiction gets no better than this."" — | The New York Times Book Review | One of the most dazzling and adventurous writers now working in English takes on the enigma of the Cambridge spies in a novel of exquisite menace, biting social comedy, and vertiginous moral complexity. The narrator is the elderly Victor Maskell, formerly of British intelligence, for many years art expert to the Queen. Now he has been unmasked as a Russian agent and subjected to a disgrace that is almost a kind of death. But at whose instigation?As Maskell retraces his tortuous path from his recruitment at Cambridge to the airless upper regions of the establishment, we discover a figure of manifold doubleness: Irishman and Englishman; husband, father, and lover of men; betrayer and dupe. Beautifully written, filled with convincing fictional portraits of Maskell's co-conspirators, and vibrant with the mysteries of loyalty and identity, | The Untouchable | places John Banville in the select company of both Conrad and le Carre.""Victor Maskell is one of the great characters in recent fiction.... | The Untouchable | is the best work of art in any medium on [its] subject."" — | Washington Post Book World | ""As remarkable a literary voice as any to come out of Ireland; Joyce and Beckett notwithstanding."" — | San Francisco Chronicle","","",NA
"233","Letters to Molly (Maysen Jar)","","Devney Perry","Devney is a Wall Street Journal and USA Today bestselling author. Born and raised in Montana, she loves writing books set in her treasured home state. After working in the technology industry for nearly a decade, she abandoned conference calls and project schedules to enjoy a slower pace at home with her family. Writing one book, let alone many, was not something she ever expected to do. But now that she’s discovered her true passion for writing romance, she has no plans to ever stop.","Devney Perry LLC","August 10, 2021",2021,"Paperback",382,"English","1950692736","978-1950692736","Literature & Fiction","Women's Fiction",4.6,4977,16.99,"From | USA Today Bestselling Author | Devney Perry comes a | small town, second chance romance | .I didn’t expect to open my mailbox one summer morning and find an old letter stuffed between bills and a supermarket flyer. Penned in familiar handwriting, dated over fifteen years ago, the letter was written to me after my first date with the man I’ll never forget.Week after week, new letters appear. Each marks an event in the history of our epic love affair. Each heals a wound. Each holds the confession from the one who still owns my heart.The letters are full of promise, hope and love, but truth be told, I wish I could unread them all.Because the man who wrote these letters is not the one sending them.","5.5 x 0.96 x 8.5 inches","1.07 pounds",485.3
"234","The Kindness of Strangers: A Skip Langdon Novel","Hardcover – July 9, 1996","Julie Smith","Visit Julie at http://www.booksbnimble.com I first knew I wanted to be a writer at seven, knew it was mysteries I'd write at 12, was desperate to win the Edgar at 13, but became a journalist to...well...keep from starving till I had the courage to actually try it. I had a great time and learned more than ten colleges could have taught as a reporter for first the New Orleans Times-Picayune and later the San Francisco Chronicle. Finally, I wrote six or seven mysteries (I've lost count!) over a period of eight years, to absolutely no avail, and was about to give up when I made my first sale. DEATH TURNS A TRICK was my first published book, and the Rebecca Schwartz series was born. I later added a second San Francisco series, plus two in New Orleans, and guess what? My first New Orleans book, NEW ORLEANS MOURNING, won the Edgar for Best Novel. So some dreams come true! Boy, it was hard, and it took forever, but mine actually did. I'm still pinching myself. After wanting something so much and finally getting it, who would have thought I'd turn to something else after twenty-one books? (That's right, twenty-one not counting a non-fiction one on writing itself. So, twenty-two, really.) My whole identity was writing. But along came ebooks! Suddenly a gigantic opportunity opened up. I realized I could be a publisher myself---I could help other people achieve their own dreams. I couldn't help it, I got the publishing bug. Bad. In 2010, I founded www.booksBnimble.com, a digital publishing company that focused at first on video-enhanced ebooks, but now not so much enhanced as just great quality---and, as you might imagine, with an emphasis on mysteries. So far, we've published eight authors (including me). It's been a treat to learn to function in another whole world and it's been incredibly rewarding to be able to help other writers, to bring back people's backlists, and to discover new, exciting talent. Check out some of our terrific authors--Patty Friedmann, Marika Christian, Tony Dunbar, Anneke Campbell, Whitney Stewart, and Lee Pryor. Coming soon: mystery authors Greg Herren, Liz Zelvin, Shelley Singer, and Mickey Friedman.","Ballantine Books","First Edition (July 9, 1996",1996,"Hardcover",338,"English","0449909379","978-0449909379","Mystery, Thriller & Suspense","Mystery",4.1,2354,20.95,"Julie Smith's New Orleans is not a city, it's a world--exotic, sweetly perverse, dangerously seductive. Nowhere else does politics make stranger bedfellows; and the approaching mayoral election is stranger than most, pitting the usual thugs and vipers against a seeming breath of fresh air--Errol Jacomine, a liberal-minded, civic-spirited preacher. The only problem is, in the opinion of Police Detective Skip Langdon, Jacomine is a psychopath and dangerous as hell.On leave of absence from the police force, Skip becomes obsessed with exposing the frightening figure beneath Jacomine's good-guy image. Immediately, an anonymous army of spies and hatchet men go to work on her, and Skip begins to understand that in opposing Jacomine, she is risking not only her livelihood but her sanity and possibly the lives of people she loves.Skip's instincts seem confirmed when the only witness to Jacomine's crimes turns up dead. Skip thinks there are more bodies buried in Jacomine's past, but it's the present she's worried about. And protecting one of her own against the preacher's evil sends Skip to the dark center of bayou country, where even the elements are her enemy. A deadly chase through the swamp during a fierce hurricane forces Skip to rely not on the kindness of strangers but on her own inner strength to survive.No other novelist so brilliantly sustains the mood of ominous tension or raises the heat index as Julie Smith does in her Skip Langdon novels. Of them all, The Kindness of Strangers tears most fiercely at the heart.","6.75 x 1.25 x 9.75 inches","1.45 pounds",657.7
"235","Homo deus - Une brève histoire du futur: Livre audio 2 CD MP3","Audio CD – Audiobook, June 6, 2018","Yuval Noah Harari","Prof. Yuval Noah Harari has a PhD in History from the University of Oxford and lectures at the Hebrew University of Jerusalem, specializing in world history. His books have been translated into 65 languages, with 45 million copies sold worldwide. 'Sapiens: A Brief History of Humankind' (2014) looked deep into our past, 'Homo Deus: A Brief History of Tomorrow' (2016) considered far-future scenarios, and '21 Lessons for the 21st Century' (2018) zoomed in on the biggest questions of the present moment. 'Sapiens: A Graphic History' (launched in 2020) is a radical adaptation of 'Sapiens' into a four-part graphic novel series, which Harari created and co-wrote in collaboration with comics artists David Vandermeulen (co-writer) and Daniel Casanave (illustrator). 'Unstoppable Us' (launched in 2022) is Harari's first book series for children, telling the epic true story of humans and our superpower in four volumes, and featuring illustrations by Ricard Zaplana Ruiz.","AUDIOLIB","June 6, 2018",2018,"",NA,"French","2367626561","978-2367626567","Literature & Fiction","Essays & Correspondence",4.5,1709,38.68,"Sapiens | retraçait l’histoire de l’humanité. | Homo deus | interroge son avenir.Que deviendront nos démocraties quand Google et Facebook connaîtront nos goûts et nos préférences politiques mieux que nous-mêmes ? Qu’adviendra-t-il de l’État providence lorsque nous, les humains, serons évincés du marché de l’emploi par des ordinateurs plus performants ? Quelle utilisation certaines religions feront-elles de la manipulation génétique ? | Homo deus | nous dévoile ce que sera le monde d’aujourd’hui lorsque, à nos mythes collectifs tels que les dieux, l’argent, l’égalité et la liberté, s’allieront de nouvelles technologies démiurgiques. Et que les algorithmes, de plus en plus intelligents, pourront se passer de notre pouvoir de décision. Car, tandis que l’Homo sapiens devient un Homo deus, nous nous forgeons un nouveau destin.Best-seller international– plus de 380 000 exemplaires vendus en France, traduit dans près de 40 langues – | Sapiens | interrogeait l’histoire de l’humanité, de l’âge de la pierre à l’ère de la Silicon Valley. Le nouveau livre de Yuval Noah Harari offre un aperçu vertigineux des rêves et des cauchemars qui façonneront le XXIe siècle.","5.51 x 0.47 x 7.48 inches","3.52 ounces",99.8
"236","Tryfling Matters (There Goes the Galaxy)","Paperback – December 8, 2015","Jenn Thorson","Jenn Thorson always knew she wanted to be a writer; it was the C+ in Penmanship that initially held her back. By the age of 11, she'd written her first mystery novel, Key to the Blue Moon, which her secretary-- er, Mom--was good enough to type up for her. It was a raging hit among the two people she knew. Spurred by her dramatic success, she went on to write other works, an experience that found her cluing into the Mystery genre, flirting with the Melodramatic Teen style, and becoming better versed in the Embarrassing Poetry of Which We Shall Never Speak Again school of writing. Yet, oddly, no one stopped her from attending Carnegie Mellon University for Creative and Professional Writing. And it was here she discovered that humor was in her heart. This was a surprise, since the funny bone usually gets so much press. Soon Jenn graduated from Carnegie Mellon and, with an inconvenient bent toward eating regularly, she took a job as a technical writer for a software development company. In the years that followed, she would move from the joys of explaining where the File menu was, to managing the marketing of the company's product line. Marketing, she realized, involved a gleeful combination of Making Stuff Up and Actually Getting Paid for It; so she became a full-time marketing writer and project manager in a local advertising firm. She also continued to hone her fiction, and her first published story, ""The Last Great Play of Rosie Cosnowski"" made its way into the Timber Creek Review. Since those days, Jenn Thorson's stories have been published in the Humor Press, the magazine for the Lewis Carroll Society of North America, and Romantic Homes magazine. Her books include the There Goes the Galaxy trilogy and her humorous Wonderland-based fantasy mystery series, The Curious Case of Mary Ann. ________________________________________ Want to hear more from Jenn Thorson? Follow her on Twitter at: twitter.com/Jenn_Thorson Or ""Like"" her author page Facebook at: Facebook.com/JennThorsonAuthor She promises she won't spend the whole time referring to herself in third person, or Tweeting about her lunch.","Waterhouse Press","December 8, 2015",2015,"Paperback",368,"English","0983804567","978-0983804567","Science Fiction & Fantasy","Science Fiction",4.6,278,15.99,"They say you can’t go home again. But some people never listen. | Earth— known to the rest of the universe as Tryfe. No matter what you call it, the little blue planet’s had its share of hard knocks. It’s been bought and sold to alien developers. It’s been held for ransom. Now the universe’s most famous Tryflings—Bertram Ludlow and Rozz Mercer—have returned to clean up the mess.  And what a mess it is. Family is acting strange. An alien corporation is running the place. And corporate outreach has an unusually | hungry | vibe.  Of course, even alien overlords need quality staff, so Bertram and Rozz boldly dive into the belly of the beast. As corporate spies, they must navigate a dangerous trail of conspiracy theorists, assassins, energy beverages and boy bands—all while battling the darkest force of all: day jobs.  Can the Tryfling defenders save Life As We Know It, or have Bertram and Rozz bitten off more than they can chew? | Don’t miss this exciting conclusion to the | There Goes the Galaxy | trilogy!","5.5 x 0.92 x 8.5 inches","1.03 pounds",467.2
"237","Total Forgiveness","Audio CD – Unabridged, January 1, 2005","R. T. Kendall","Born and raised in the USA, Dr. R. T. Kendall has recently retired as Minister at Westminster Chapel, London, where he served for 25 eventful years. Still in huge demand as a writer and speaker around the world. He is one of the best-known and respected Christian leaders and teachers in the UK.","Oasis Audio","Unabridged edition (January 1, 2005",2005,"",NA,"English","1589268334","978-1589268333","Christian Books & Bibles","Christian Living",4.8,1734,19.39,"""Release them, and you will be set free."" These were not exactly the words R. T. Kendall had hoped to hear during a painful situation when he had been terribly wronged! However, these words cut into his heart. He knew he couldn’t ignore them and also be healed. True inner peace awaits you! You can avoid spiritual quicksand and experience the incredible freedom found in total forgiveness. Is total forgiveness easy? Of course not, but this audio will give you a game plan and the encouragement to cast out areas of unforgiveness that have kept you from enjoying the best God has to offer you. Learn what forgiveness is and what it is not. Uncover the physical, emotional and spiritual consequences of unforgiveness, and see why God adamantly encourages you to forgive others. Make the choice to forgive and step into a new dimension of freedom and inner peace.","6.5 x 0.63 x 5.5 inches","7.5 ounces",212.6
"238","The Essential Guide to Warfare (Star Wars) (Star Wars: Essential Guides)","Paperback – April 3, 2012","Jason Fry","I'm the author of The Jupiter Pirates series, in which we meet Tycho, Yana and Carlo Hashoone. They're part of the crew of the Shadow Comet, and simultaneously siblings and competitors. Each wants to be the next captain of their family's starship -- but only one of them will be chosen. The Jupiter Pirates is part high-seas adventure and part space-age epic -- I've had a blast writing the first three books and am currently plotting out the second half of the saga. Officially the Jupiter Pirates books are for kids 8-12, but readers far older than that will enjoy them too. As for me, I'm a writer, editor, and digital-content guy based in Brooklyn, N.Y. I've written more than 50 Star Wars books and short stories, as well as novels set in the Minecraft and Transformers universes. In a previous life I spent more than 12 years at The Wall Street Journal Online, where I wrote the Real Time column about technology and co-wrote The Daily Fix, a daily roundup of great sportswriting. Since 2005 I've co-written Faith and Fear in Flushing (faithandfearinflushing.com), a blog about the New York Mets, with my friend Greg Prince. If that seems like an odd mix, well, I think so too. But one way or another, I've written or worked with writers nearly all my life. It's all I ever wanted to do, and I'm profoundly grateful that I've been able to do it. Whether you're writing about a far-off galaxy or a nearby baseball team, the path to becoming a successful writer is the same: Write every day, learn from other writers and from good editors, push your writing to make sure it's as clear and engaging as possible, and value every form of writing you get to do. And be nice -- it takes a team to get a book from idea to bookstore shelves, and everyone else involved deserves your help, respect and gratitude. For more on the Jupiter Pirates, drop by jupiterpirates.com. For more about me, see my personal page at www.jasonfry.net or visit my Substack at jasonfry.substack.com/. Thanks!","Random House Worlds","Reprint edition (April 3, 2012",2012,"Paperback",256,"English","0345477626","978-0345477620","Humor & Entertainment","Movies",4.7,498,23.59,"THE DEFINITIVE GUIDE TO THE ULTIMATE INTERGALACTIC BATTLEFIELD | Like many a great epic, | Star Wars | is rooted in a rich history of armed conflict. Now, for the first time, the facts, figures, and fascinating backstories of major clashes and combatants in the vast | Star Wars | universe have been documented in one fully illustrated volume. Extensively researched and inventively written, | Star Wars: The Essential Guide to Warfare | combines action-filled narrative with encyclopedic knowledge that: • explores notable military units and groups• traces the development of significant armaments and technologies• profiles key warship classes, ground units, and manufacturers• provides capsule biographies of great military leaders• presents eyewitness troopers’ accounts of combat• plus—enough additional profiles, intel, history, and lore to span the cosmos! Encompassing all of the | Star Wars | media, including the legendary films, the hit TV series | Star Wars: The Clone Wars, | the bestselling books, comics, and videogames, and packed with original full-color artwork, | Star Wars: The Essential Guide to Warfare | is a conquering achievement.","8.57 x 0.63 x 10.87 inches","2.29 pounds",1038.7
